customer_id,amount,merchant_name,merchant_category,country,payment_method,velocity_1h,device_age_days,account_age_days,is_fraud,attack_type,amount_deviation_ratio,velocity_deviation_ratio,behavioral_deviation_score
CUST_00000,745.79,"Johnson, Stewart and Adkins",FOOD,GB,DEBIT_CARD,3,490,577,0,LEGITIMATE,0.7461108276558921,1.0,0.873055413827946
CUST_00000,1031.03,"Mcdowell, Foley and Roberts",FOOD,GB,DEBIT_CARD,4,620,577,0,LEGITIMATE,1.0314735336194565,1.3333333333333333,1.1824034334763949
CUST_00000,1095.41,Lopez-Baird,FOOD,GB,DEBIT_CARD,2,855,577,0,LEGITIMATE,1.0958812289284394,0.6666666666666666,0.8812739477975531
CUST_00000,703.76,"Meyer, Newman and Bell",FOOD,GB,DEBIT_CARD,3,829,577,0,LEGITIMATE,0.704062746981202,1.0,0.852031373490601
CUST_00000,968.11,"Foster, Mendoza and Hughes",FOOD,GB,DEBIT_CARD,2,511,577,0,LEGITIMATE,0.9685264663805437,0.6666666666666666,0.8175965665236051
CUST_00000,907.93,Medina and Sons,FOOD,GB,DEBIT_CARD,1,688,577,0,LEGITIMATE,0.9083205778484749,0.3333333333333333,0.6208269555909041
CUST_00000,1221.55,"Adams, Roth and Prince",FOOD,GB,DEBIT_CARD,3,354,577,0,LEGITIMATE,1.2220754924617585,1.0,1.1110377462308794
CUST_00000,1079.64,"Malone, Kelly and Mitchell",FOOD,GB,DEBIT_CARD,3,520,577,0,LEGITIMATE,1.080104444911312,1.0,1.0400522224556559
CUST_00001,884.07,Martinez-Jones,HEALTHCARE,CN,DEBIT_CARD,1,425,137,0,LEGITIMATE,1.4090898223635453,0.5,0.9545449111817726
CUST_00001,679.94,Cline Inc,HEALTHCARE,CN,DEBIT_CARD,2,823,137,0,LEGITIMATE,1.083733792366972,1.0,1.041866896183486
CUST_00001,288.62,Lopez-White,HEALTHCARE,CN,DEBIT_CARD,3,138,137,0,LEGITIMATE,0.4600218359751676,1.5,0.9800109179875838
CUST_00001,641.43,"Allen, Moreno and Thompson",HEALTHCARE,CN,DEBIT_CARD,1,151,137,0,LEGITIMATE,1.0223539818777345,0.5,0.7611769909388673
CUST_00001,588.46,Price-White,HEALTHCARE,CN,DEBIT_CARD,4,359,137,0,LEGITIMATE,0.9379268574525228,2.0,1.4689634287262614
CUST_00001,604.0,Harrison Group,HEALTHCARE,CN,DEBIT_CARD,1,204,137,0,LEGITIMATE,0.9626955475330927,0.5,0.7313477737665464
CUST_00001,1235.86,Neal LLC,HEALTHCARE,CN,DEBIT_CARD,4,85,137,1,LOW_AND_SLOW_BEHAVIORAL,1.9697962241295495,2.0,1.9848981120647746
